0.083657 0.340000 -0.098346 -0.225708
0.092790 0.370000 -0.053941 0.076302
0.102920 0.540000 0.172181 0.221052
0.114156 0.540000 0.121586 -0.024375
0.126619 0.710000 -0.021292 -0.138850
0.140443 0.740000 -0.041581 -0.255344
0.155776 0.780000 0.054476 0.108626
0.172783 0.810000 -0.063823 -0.116274
0.191646 0.840000 0.015502 0.064533
0.212569 0.810000 -0.093973 -0.145000
0.235776 0.730000 -0.033113 -0.093975
0.261517 0.680000 -0.050907 -0.085281
0.290068 0.410185 -0.063459 -0.325484
0.321736 0.354538 -0.038544 0.059208
0.356862 0.796454 2.338881 2.261839
0.395822 0.508522 -0.449216 -0.759677
0.439036 1.124826 2.614611 1.890485
0.486968 1.453274 -1.222352 0.125439
0.540132 0.605701 -0.328867 0.819182
0.599101 1.133008 -0.143034 0.171640
0.664508 0.653820 -0.046681 -1.366872
0.737055 0.640912 -1.094056 1.980448
0.817523 0.960097 0.329707 -0.149514
0.906776 0.515137 0.639290 -0.306520
1.005773 0.445827 0.011027 -0.394116
1.115578 0.442603 -0.382844 0.726744
1.237371 0.304515 -0.208860 0.032219
1.372461 0.355513 -0.142367 -0.196254
1.522299 0.418088 0.147076 0.214802
1.688496 0.158223 -0.130200 -0.039880
1.872837 0.049197 -0.094077 -0.076835
2.077304 0.101617 -0.152460 0.036462
2.304093 0.116753 -0.016302 -0.037372
2.555642 0.101039 -0.143973 -0.252614
2.834654 0.091293 0.099726 0.156010
3.144126 -0.005491 0.008745 0.047085
3.487386 0.045394 0.028403 -0.044171
3.868121 -0.013553 -0.024030 0.051617
4.290422 -0.019670 0.021049 0.066039
4.758828 0.054942 0.000418 0.047763
5.278372 0.024888 -0.051424 -0.002013
5.854637 0.014115 -0.031993 0.027322
6.493816 -0.008215 -0.046966 0.053388
7.202778 -0.012933 -0.017432 0.068934
7.989139 0.028442 -0.046771 -0.003530
8.861352 0.007075 0.017646 0.024536
9.828789 0.004528 0.016524 0.021659
10.901845 0.023921 -0.006264 0.010730
12.092052 0.013358 -0.019568 -0.012279
13.412199 0.015092 -0.009444 0.031816
14.876474 0.007328 -0.024878 0.019474
16.500610 0.006942 -0.009885 -0.001277
18.302061 0.006293 -0.013976 -0.000654
20.300185 0.002688 -0.011078 0.018987
22.516454 0.002626 -0.025504 0.014248
